,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
117,JUV015,220409,118,2671.920161,2672.114494,2675.560813,2672.11666,2672.11666,"[2672.114494, 2672.222326, 2672.337993, 2672.426492, 2672.536992, 2672.632658, 2672.750324, 2672.861491, 2672.97949, 2673.089156, 2673.198823, 2673.329823, 2673.438488, 2675.547147]",1,2,go,14,normal,2
118,JUV015,220409,119,2677.561982,,,,2680.564301,[],16,-1,go,0,missed,
119,JUV015,220409,120,2694.980236,2695.170235,2696.566563,2695.172402,2695.172402,"[2695.170235, 2695.262901, 2695.366234, 2695.461744, 2695.571739, 2695.6494, 2695.744733, 2695.854066, 2695.957565, 2696.068398, 2696.186231, 2696.310397, 2696.426396, 2696.529903]",2,2,go,14,normal,2
120,JUV015,220409,121,2700.040049,,,,2703.290369,[],6,0,nogo,0,normal,
121,JUV015,220409,122,2707.030521,2707.193853,2708.327183,2707.19602,2707.19602,"[2707.193853, 2707.300861, 2707.403853, 2707.507352, 2707.618185, 2707.707685, 2707.818351, 2707.92985, 2708.047517, 2708.165683, 2708.283349]",3,2,go,11,normal,2
122,JUV015,220409,123,2712.125667,,,,2715.375987,[],8,0,nogo,0,normal,
123,JUV015,220409,124,2718.90164,,,,2721.904128,[],16,-1,go,0,missed,
124,JUV015,220409,125,2735.745406,2735.930072,2739.674723,2735.932238,2735.932238,"[2735.930072, 2736.023238, 2736.132238, 2736.228071, 2736.337903, 2736.418736, 2736.529739, 2736.634236, 2736.745235, 2736.863568, 2736.980734, 2739.66089]",2,2,go,12,normal,2
125,JUV015,220409,126,2741.675882,2741.742384,2741.895715,,2741.742384,"[2741.742384, 2741.844382]",5,-1,nogo,2,normal,
126,JUV015,220409,127,2755.593503,2755.774159,2756.770155,2755.776326,2755.776326,"[2755.774159, 2755.868659, 2755.966325, 2756.070158, 2756.180991, 2756.26999, 2756.373668, 2756.477156, 2756.601489, 2756.718655]",4,2,go,10,normal,2
127,JUV015,220409,128,2759.559979,2759.700643,2759.714977,,2759.700643,[2759.700643],7,-1,nogo,1,normal,
128,JUV015,220409,129,2774.081919,2774.337421,2775.556747,2774.339585,2774.339585,"[2774.337421, 2774.439751, 2774.534751, 2774.644417, 2774.75375, 2774.84125, 2774.943749, 2775.053249, 2775.177248, 2775.293581, 2775.409914, 2775.512414]",4,2,go,12,normal,2
129,JUV015,220409,130,2778.224903,2778.374735,2779.422898,2778.376902,2778.376902,"[2778.374735, 2778.467744, 2778.577401, 2778.686734, 2778.804734, 2778.908066, 2779.018399, 2779.135566, 2779.246565, 2779.356899]",1,2,go,10,normal,2
130,JUV015,220409,131,2783.105216,2783.261216,2786.581202,2783.263382,2783.263382,"[2783.261216, 2783.348715, 2783.458227, 2783.568383, 2783.679381, 2783.784047, 2783.89488, 2784.006046, 2784.117212, 2784.235212, 2784.345711, 2784.477544, 2786.559536]",2,2,go,13,normal,2
131,JUV015,220409,132,2788.582361,2788.715527,2799.271821,,2788.715527,"[2788.715527, 2788.830699, 2796.755995, 2796.986161, 2797.098494, 2797.21816, 2797.33016, 2797.516492, 2797.661325, 2797.720991, 2797.866324, 2797.930324, 2798.660154, 2798.795487, 2798.999822, 2799.258318]",5,-1,nogo,16,normal,
132,JUV015,220409,133,2802.081141,2802.266806,2803.9708,2802.268806,2802.268806,"[2802.266806, 2802.368806, 2802.479139, 2802.589805, 2802.693305, 2802.796804, 2802.907637, 2803.02497, 2803.14297, 2803.261802, 2803.387302, 2803.46014, 2803.514635, 2803.587134, 2803.636468, 2803.768467, 2803.8918, 2803.950141]",2,2,go,18,normal,2
133,JUV015,220409,134,2806.845788,2808.12495,2808.280449,,2808.12495,[2808.12495],7,-1,nogo,1,normal,
134,JUV015,220409,135,2822.227726,,,,2825.478047,[],7,0,nogo,0,normal,
135,JUV015,220409,136,2829.641197,,,,2832.891517,[],7,0,nogo,0,normal,
136,JUV015,220409,137,2836.873668,2837.085167,2837.472499,,2837.085167,"[2837.085167, 2837.177668, 2837.285166, 2837.413832]",5,-1,nogo,4,normal,
137,JUV015,220409,138,2851.426443,2853.626768,2853.997933,,2853.626768,"[2853.626768, 2853.7266, 2853.854943, 2853.961933]",5,-1,nogo,4,normal,
138,JUV015,220409,139,2867.847377,,,,2871.097698,[],8,0,nogo,0,normal,
139,JUV015,220409,140,2875.64068,2878.010837,2878.140836,,2878.010837,"[2878.010837, 2878.104003]",8,-1,nogo,2,normal,
140,JUV015,220409,141,2891.860948,2907.063554,2907.084554,,2894.863269,[2907.063554],10,-1,go,1,missed,
141,JUV015,220409,142,2909.085712,2909.302045,2910.62204,2909.304379,2909.304379,"[2909.302045, 2909.386878, 2909.485044, 2909.587544, 2909.697377, 2909.778543, 2909.881543, 2909.998542, 2910.116208, 2910.232208, 2910.334708, 2910.457874, 2910.600546]",3,2,go,13,normal,2
142,JUV015,220409,143,2914.091026,,,,2917.093349,[],13,-1,go,0,missed,
143,JUV015,220409,144,2931.565789,2931.779955,2932.042787,,2931.779955,"[2931.779955, 2931.892954, 2932.006787]",5,-1,nogo,3,normal,
144,JUV015,220409,145,2945.536567,2945.716399,2949.600884,2945.718566,2945.718566,"[2945.716399, 2945.809399, 2945.910732, 2946.019901, 2946.129905, 2946.211397, 2946.314897, 2946.418563, 2946.536563, 2946.647729, 2946.764395, 2949.57255]",3,2,go,12,normal,2
145,JUV015,220409,146,2951.602042,,,,2954.852363,[],7,0,nogo,0,normal,
146,JUV015,220409,147,2958.419682,2960.123181,2960.255508,,2960.123181,"[2960.123181, 2960.234175]",6,-1,nogo,2,normal,
